Country;ISO Code;Region;ADM1;Affected Pop Share;Type;Meta (e.g. group size thresholds;Start;End;Source;Comment
US;US;Virginia;VA;1,00;School Closings;;2020-03-16;;https://www.governor.virginia.gov/newsroom/all-releases/2020/march/headline-854442-en.html;
US;US;Washington;WA;1,00;School Closings;;2020-03-16;;https://www.governor.wa.gov/news-media/inslee-statement-statewide-shutdown-restaurants-bars-and-limits-size-gatherings-expanded, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Arkansas;AR;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Connecticut;CT;1,00;School Closings;;2020-03-17;;https://www.ctpost.com/news/coronavirus/article/Lamont-orders-all-Connecticut-schools-closed-15133136.php;measure to be put in place at the end of the day 2020-03-16, so effective from 17th
US;US;Florida;FL;1,00;School Closings;;2020-03-17;;http://www.fldoe.org/newsroom/latest-news/florida-department-of-education-announces-additional-guidance-for-the-2019-20-school-year.stml;not entirely sure I got the date right
US;US;Hawaii;HI;1,00;School Closings;;2020-03-17;;https://www.hawaiinewsnow.com/2020/03/18/live-governor-discuss-latest-efforts-stem-spread-coronavirus/;
US;US;Illinois;IL;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Iowa;IA;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;not sure if school closure already in place on 16th March
US;US;Kansas;KS;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Kentucky;KY;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;again, not entirely sure about the date
US;US;Massachusetts;MA;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Minnesota;MN;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Ohio;OH;1,00;School Closings;;2020-03-17;;https://pittsburgh.cbslocal.com/2020/03/15/ohio-governor-says-school-closure-might-last-for-rest-of-academic-year/;
US;US;Rhode Island;RI;1,00;School Closings;;2020-03-17;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Georgia;GA;1,00;School Closings;;2020-03-18;;https://www.ajc.com/news/state--regional-govt--politics/kemp-orders-all-public-schools-georgia-closed-through-end-march/Alpzcxpd6xN8f2TGySOyzM/;
US;US;New Jersey;NJ;1,00;School Closings;;2020-03-18;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;
US;US;Utah;UT;1,00;School Closings;;2020-03-18;;https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;"this closure was called a ""soft-closure"", so exact date unclear"
US;US;Vermont;VT;1,00;School Closings;;2020-03-18;;https://governor.vermont.gov/press-release/gov-scott-orders-orderly-closure-vermont-prek-12-schools-week;
US;US;West Virginia;WV;1,00;School Closings;;2020-03-18;;https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov.-Justice-holds-statewide-address-to-discuss-coronavirus-precautions.aspx, https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html;It's unclear when exactly the school closure was put into place
US;US;Wisconsin;WI;1,00;School Closings;;2020-03-19;;https://evers.wi.gov/Documents/COVID19/K-12FAQ_3.15.20.pdf;
US;US;California;CA;1,00;School Closings;;2020-03-20;;https://www.theguardian.com/world/2020/mar/19/coronavirus-california-more-than-half-gavin-newsom;
US;US;Colorado;CO;1,00;School Closings;;2020-03-23;;https://www.cpr.org/2020/03/18/polis-closes-all-of-colorados-schools-until-at-least-april-17/;
US;US;Colorado;CO;1,00;Curfew (Lockdown of All Non-Essential Public Life);;2020-03-26;;https://covid19.colorado.gov/stay-home-except-essential-needs;
Gambia, The;GM;;;1,00;School Closings;;2020-03-18;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia;
Gambia, The;GM;;;1,00;Cancelation of Large Events;;2020-03-18;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia;
Gambia, The;GM;;;1,00;University Closings;;2020-03-18;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Gambia;
Gambia, The;GM;;;1,00;Border Closing;;2020-03-23;;http://thepoint.gm/africa/gambia/article/gambia-closes-airspace-and-land-borders;
El Salvador;SV;;;1,00;Daycare Closings;;2020-12-03;;https://www.mined.gob.sv/noticias/avisos/item/1015482-circular-07-2020-suspension-de-clases-por-emergencia-de-covid-19.html;
El Salvador;SV;;;1,00;School Closings;;2020-12-03;;https://www.mined.gob.sv/noticias/avisos/item/1015482-circular-07-2020-suspension-de-clases-por-emergencia-de-covid-19.html;
El Salvador;SV;;;1,00;University Closings;;2020-12-03;;https://www.mined.gob.sv/noticias/avisos/item/1015482-circular-07-2020-suspension-de-clases-por-emergencia-de-covid-19.html;
El Salvador;SV;;;1,00;Curfew (Lockdown of All Non-Essential Public Life);;2020-03-22;;https://www.dw.com/es/el-salvador-decreta-cuarentena-domiciliar-obligatoria-por-un-mes/a-52876084;
